rewards_rank,rank,index,adjusted_balance,block_proposals,beta_epochs_missed,balance,start_balance,eth1_addr,pub
79,90,106465,52794042,1,0,64231301213,64178507171,0x6af4e87b398c0986d81ccf59022bbeaaec2f5367,0x84317fcb8be3f3884cfa5c3eead72770347f705abc84ac0be89e41bc3f323a4975d9074d263d5ef6b493eba6a76fa0f9
80,91,123352,52753280,2,0,32058563811,32005810531,0x293bf99c8a1018e71a82a9d53c689dea3115cb96,0xa7de9449462e1a0c7415c817fdb9e8d4ec223ec27dfb0c14b1c88395fb01f99898260d1f3391d41544cf8c353f795ddf
81,92,123909,52599920,1,0,32054338656,32001738736,0x6de8f905b46e36efa2dca25406fc07d87e421663,0x905ae120f04d6f523381df61202838789fd387892ee86949c2b285253022866bfc3b6d7b879131b2ef49df81750bd5e8
82,93,106480,52583775,2,0,64239007294,64186423519,0xe0a93b4f92c85fce94c15f365459c5fbb15f35aa,0xb936c9ac205fb1618f5e31dc9dcfa7dbab5ead4a6f3aa89d3b5e6c9a97f89dcf98f5ee885d9b058fcf532d8080917ec7
83,94,123981,52565960,1,37,32052565960,32000000000,0xdf306adc310f0b496861f9e675e1d9152dd8c233,0xb479d8f9d1674add24c44c4540331a8b224966c73d93a7125339352f1690e38792438f927d6141225f3d15cac4d2294d
84,95,123588,52523887,1,0,32057522608,32004998721,0xdcd9b91e3446baaf3279561236ac903439e37a02,0xb5114562bdc90d18f0bcee2facdb44baca893eaa88cd67caa822dcf92de4843e74b249ca3cf730ba9cb5519951f4a10f
85,96,124020,52506572,1,46,32052506572,32000000000,0x24a8116b077631b489e6e8eb43a87420f152c79c,0xafa72f61c151daadf6b89d110b671e589e971d9b00c12d6f47771a0ec4158207c1fa01ce6ec44d60b8f44984980d6ee1
,97,123429,52496129,1,0,32058448305,32005952176,0xc7ceadf13f345e914036cca9849e1f99ed329f0d,0x93b99a236022da93fa8cb4d3bf121965ef36023332fde7c5e5e359c517813703ca6dcfccbe17b72f3bc4518c39da04ba
86,98,105616,52473225,2,0,64251492522,64199019297,0x3152e8317483099fc8acc93cef709760fbd3952f,0x861b67fe1a75a4c3bab39a2cff3628698ab66e7a59d57c220c4fad050d5edc727b23ad45ddb4b32a5db027a56bacd2a1
87,99,106467,52367773,1,0,64316080955,64263713182,0x0cf13089a0cf0295a415da97b16051dc98a2cb52,0xb88dfb084075ca0ef04bb247f251d169510964ea8a69a59ae3d3f310042b9986013dc33924e00672b6e37dd37a30c18b
88,100,105619,52365404,2,0,64268067690,64215702286,0xa7cc52b7598c43cf56ef34fbd477a333edcc8238,0x89c1f68dca7ae3647f738537061891fafc1d742a03a8ca26572e5176eb71316602c3a1d1fbd2d4f105e9329853f646ca
,101,121597,52337801,1,0,32078375973,32026038172,0x1bd461fbc9559a689803cd8374a054c3a041c7d0,0xb09882c28799dc5ccdd0f61c9264f1f35432a1ee8e3716ab99f2aae6f74989b24665c1eb4fc95f15a86f31172e4119c9
89,102,123575,52330944,1,0,32057425151,32005094207,0x6cfa9e52be1f4a3b473f54978a886aa7d06df936,0x972668fbffaf156189421d08e531fd98c576bb45cb4e01fc1259ea753439ee2b1695ed1305d56b02dac6227228d3b152
90,103,123325,52239820,2,0,32058676417,32006436597,0x8701fd0cc7dde651d8e5a87ae6d2297b73d683b5,0xa2e6ab368a0faa5ac0a29e5fb149f0b78b7375cdb5ba856c19b806c2ce85bf4745fe99ecd1c7722c2df0bde863a9b94c
91,104,123308,52221438,1,0,32062027502,32009806064,0x08f51268b26a7f64d5e72e2c1f391ac2c526d836,0x980aa96971d487843ff9d171e813a9d13c913cfe8c1c266ae1be103e98d92d59578434402ff8dbb3b706078eeea4552d
92,105,123907,51984299,1,0,32053693236,32001708937,0x14838e7d89c74448b76c3041142f1004f333ba6a,0xaea443b3cc7fa2f6776e270263e895bba7cdf92c2120086c132e90c2847cce3b135af25b23301d3aedbcce85b565d84c
93,106,123290,51957954,1,0,32058438114,32006480160,0x8686486f7505f63f61ddcd973a60938f3a1a61a8,0xb420da45f43c352c1c6fd9edaa6e2a8170c04e8f15e4b5fd1a6ad8bf833b5c28c5ad27830c6eb4de2a4c3173a9dbbd04
